edgeID,startNode,endNode
BSTAI00102_WHALL00402,WHALL00402,BSTAI00102
BHALL04202_WELEV00H02,BHALL04202,WELEV00H02
BDEPT00902_WELEV00E02,BDEPT00902,WELEV00E02
BINFO00202_WELEV00F02,BINFO00202,WELEV00F02
BSTAI00102_BHALL00102,BSTAI00102,BHALL00102
BHALL00102_BHALL00202,BHALL00102,BHALL00202
BHALL00202_BHALL00502,BHALL00202,BHALL00502
BHALL00502_BDEPT00402,BHALL00502,BDEPT00402
BDEPT00402_BHALL00602,BDEPT00402,BHALL00602
BHALL00602_BHALL00702,BHALL00602,BHALL00702
BHALL00702_BHALL01002,BHALL00702,BHALL01002
BHALL01102_BHALL01202,BHALL01102,BHALL01202
BHALL01202_BHALL01302,BHALL01202,BHALL01302
BHALL01302_BDEPT00802,BHALL01302,BDEPT00802
BDEPT00802_BSTAI00602,BDEPT00802,BSTAI00602
BHALL01402_WHALL00102,BHALL01402,WHALL00102
BHALL00102_BSTAI01002,BHALL00102,BSTAI01002
BSTAI01002_WELEV00K02,BSTAI01002,WELEV00K02
BHALL00402_BLABS00102,BHALL00402,BLABS00102
BHALL00402_BREST00302,BHALL00402,BREST00302
BREST00302_BSTAI00902,BREST00302,BSTAI00902
BSTAI00902_WHALL00602,BSTAI00902,WHALL00602
BHALL00402_BHALL03102,BHALL00402,BHALL03102
BHALL03102_BSTAI00802,BHALL03102,BSTAI00802
BSTAI00802_BREST00402,BSTAI00802,BREST00402
BREST00402_BHALL03202,BREST00402,BHALL03202
BHALL00602_BREST00202,BHALL00602,BREST00202
BREST00202_BHALL00802,BREST00202,BHALL00802
BHALL00802_BSTAI00302,BHALL00802,BSTAI00302
BHALL00702_BHALL01502,BHALL00702,BHALL01502
BHALL01002_BHALL01602,BHALL01002,BHALL01602
BHALL01202_BSTAI00502,BHALL01202,BSTAI00502
BHALL01102_BHALL02302,BHALL01102,BHALL02302
BHALL00602_BHALL01802,BHALL00602,BHALL01802
BHALL01802_BDEPT00502,BHALL01802,BDEPT00502
BHALL02202_BHALL02302,BHALL02202,BHALL02302
BHALL03002_BSTAI00702,BHALL03002,BSTAI00702
BHALL02102_BSERV00102,BHALL02102,BSERV00102
BHALL02302_BINFO00102,BHALL02302,BINFO00102
BINFO00102_BLABS00202,BINFO00102,BLABS00202
BINFO00202_BHALL02502,BINFO00202,BHALL02502
BHALL02502_BHALL02602,BHALL02502,BHALL02602
BHALL02702_BHALL02802,BHALL02702,BHALL02802
BHALL02602_BHALL01402,BHALL02602,BHALL01402
BHALL00202_BSTAI00202,BHALL00202,BSTAI00202
BSTAI00202_BHALL03802,BSTAI00202,BHALL03802
BHALL01202_WELEV00G02,BHALL01202,WELEV00G02
BSTAI00502_WELEV00G02,BSTAI00502,WELEV00G02
BHALL00302_BHALL03402,BHALL00302,BHALL03402
BREST00102_BHALL03402,BREST00102,BHALL03402
BDEPT00202_BHALL03402,BDEPT00202,BHALL03402
BCONF00102_BHALL03402,BCONF00102,BHALL03402
BHALL00302_WELEV00K02,BHALL00302,WELEV00K02
BHALL03502_BHALL00302,BHALL03502,BHALL00302
BHALL03502_BHALL00402,BHALL03502,BHALL00402
BHALL03102_BHALL03302,BHALL03102,BHALL03302
BHALL01902_BDEPT00502,BHALL01902,BDEPT00502
BHALL01902_BHALL02002,BHALL01902,BHALL02002
BHALL02002_BHALL02102,BHALL02002,BHALL02102
BHALL02202_BHALL02102,BHALL02202,BHALL02102
BDEPT00102_BHALL03802,BDEPT00102,BHALL03802
BHALL03602_BHALL03802,BHALL03602,BHALL03802
BHALL03702_BHALL03602,BHALL03702,BHALL03602
BHALL00902_BHALL03702,BHALL00902,BHALL03702
BHALL01102_BHALL01002,BHALL01102,BHALL01002
BHALL01302_BINFO00202,BHALL01302,BINFO00202
BDEPT00902_BHALL01402,BDEPT00902,BHALL01402
BHALL00502_WELEV00J02,BHALL00502,WELEV00J02
BDEPT00302_WELEV00J02,BDEPT00302,WELEV00J02
BHALL01902_BHALL04102,BHALL01902,BHALL04102
BHALL04102_WELEV00H02,BHALL04102,WELEV00H02
BHALL02002_BHALL04202,BHALL02002,BHALL04202
BHALL04202_BHALL04302,BHALL04202,BHALL04302
BHALL04302_BHALL02902,BHALL04302,BHALL02902
BREST00502_BHALL02902,BREST00502,BHALL02902
BHALL03002_BREST00502,BHALL03002,BREST00502
BHALL02602_BHALL02702,BHALL02602,BHALL02702
BSTAI00602_WELEV00E02,BSTAI00602,WELEV00E02
BSTAI00502_BDEPT00702,BSTAI00502,BDEPT00702
BDEPT00702_BHALL01702,BDEPT00702,BHALL01702
BINFO00102_BHALL04402,BINFO00102,BHALL04402
BHALL04402_BHALL02802,BHALL04402,BHALL02802
BHALL04402_WELEV00F02,BHALL04402,WELEV00F02
BHALL04402_BINFO00202,BHALL04402,BINFO00202
BSTAI00602_BDEPT00902,BSTAI00602,BDEPT00902
BHALL00502_BDEPT00302,BHALL00502,BDEPT00302
BHALL03002_BHALL03302,BHALL03002,BHALL03302
BSTAI01002_BHALL00302,BSTAI01002,BHALL00302
BDEPT00602_BHALL03302,BDEPT00602,BHALL03302
BHALL04102_BHALL04202,BHALL04102,BHALL04202
