edge_id,start_node,end_node,disabled
AHALL00202_AHALL00302,AHALL00302,AHALL00202,false
AHALL00502_ADEPT00102,ADEPT00102,AHALL00502,false
AHALL01001_ASTAI00101,AHALL01001,ASTAI00101,false
AREST00103_AHALL00603,AREST00103,AHALL00603,false
AHALL00102_AHALL00202,AHALL00202,AHALL00102,false
AHALL00102_AHALL00602,AHALL00602,AHALL00102,false
AHALL00303_ALABS00203,ALABS00203,AHALL00303,false
AHALL00203_ALABS00103,ALABS00103,AHALL00203,false
AHALL01001_AHALL00201,AHALL01001,AHALL00201,false
AHALL002L2_AEXIT001L2,AHALL002L2,AEXIT001L2,false
AHALL00901_AHALL00101,AHALL00101,AHALL00901,false
AHALL00103_AELEV00S03,AELEV00S03,AHALL00103,false
AHALL004L2_ALABS001L2,AHALL004L2,ALABS001L2,false
AREST00101_AHALL00901,AREST00101,AHALL00901,false
AHALL00801_AHALL00401,AHALL00401,AHALL00801,false
AHALL00503_ACONF00103,ACONF00103,AHALL00503,false
ADEPT00201_AHALL00601,AHALL00601,ADEPT00201,false
AHALL00501_AHALL00701,AHALL00701,AHALL00501,false
AHALL002L2_AINFO001L2,AINFO001L2,AHALL002L2,false
AHALL00401_AHALL00501,AHALL00501,AHALL00401,false
ASTAI00101_ASTAI00102,ASTAI00102,ASTAI00101,false
AHALL00401_ADEPT00101,ADEPT00101,AHALL00401,false
AHALL00201_AHALL00301,AHALL00301,AHALL00201,false
AHALL00603_AHALL00503,AHALL00603,AHALL00503,false
AHALL00901_AHALL01001,AHALL00901,AHALL01001,false
AHALL00102_ACONF00102,ACONF00102,AHALL00102,false
AHALL00201_ASTAI00101,ASTAI00101,AHALL00201,false
AHALL00402_AHALL00502,AHALL00502,AHALL00402,false
ASTAI00101_AHALL00101,ASTAI00101,AHALL00101,false
AHALL00202_ASTAI00102,ASTAI00102,AHALL00202,false
AHALL00403_AHALL00503,AHALL00503,AHALL00403,false
AHALL01001_AHALL00101,AHALL01001,AHALL00101,false
AHALL00303_AHALL00403,AHALL00403,AHALL00303,false
AHALL00203_AHALL00303,AHALL00303,AHALL00203,false
AHALL003L2_AHALL004L2,AHALL003L2,AHALL004L2,false
AHALL00103_AHALL00203,AHALL00203,AHALL00103,false
AHALL002L2_AHALL003L2,AHALL002L2,AHALL003L2,false
AHALL001L2_AHALL002L2,AHALL002L2,AHALL001L2,false
AHALL00901_AHALL00201,AHALL00201,AHALL00901,false
AHALL00101_ARETL00101,ARETL00101,AHALL00101,false
AHALL00801_AELEV00S01,AELEV00S01,AHALL00801,false
AELEV00SL2_AHALL001L2,AHALL001L2,AELEV00SL2,false
ADEPT00301_AHALL00701,AHALL00701,ADEPT00301,false
AHALL00301_AHALL00801,AHALL00801,AHALL00301,false
AHALL00501_AHALL00601,AHALL00601,AHALL00501,false
AHALL00301_AHALL00401,AHALL00401,AHALL00301,false
AHALL00101_AHALL00201,AHALL00201,AHALL00101,false
AHALL00402_AELEV00S02,AELEV00S02,AHALL00402,false
AHALL00302_AHALL00402,AHALL00402,AHALL00302,false
AHALL00602_WHALL01002,AHALL00602,WHALL01002,false
BSTAI00102_WHALL00402,WHALL00402,BSTAI00102,false
BHALL04202_WELEV00H02,BHALL04202,WELEV00H02,false
BDEPT00902_WELEV00E02,BDEPT00902,WELEV00E02,false
BINFO00202_WELEV00F02,BINFO00202,WELEV00F02,false
BSTAI00102_BHALL00102,BSTAI00102,BHALL00102,false
BHALL00102_BHALL00202,BHALL00102,BHALL00202,false
BHALL00202_BHALL00502,BHALL00202,BHALL00502,false
BHALL00502_BDEPT00402,BHALL00502,BDEPT00402,false
BDEPT00402_BHALL00602,BDEPT00402,BHALL00602,false
BHALL00602_BHALL00702,BHALL00602,BHALL00702,false
BHALL00702_BHALL01002,BHALL00702,BHALL01002,false
BHALL01102_BHALL01202,BHALL01102,BHALL01202,false
BHALL01202_BHALL01302,BHALL01202,BHALL01302,false
BHALL01302_BDEPT00802,BHALL01302,BDEPT00802,false
BDEPT00802_BSTAI00602,BDEPT00802,BSTAI00602,false
BHALL01402_WHALL00102,BHALL01402,WHALL00102,false
BHALL00102_BSTAI01002,BHALL00102,BSTAI01002,false
BSTAI01002_WELEV00K02,BSTAI01002,WELEV00K02,false
BHALL00402_BLABS00102,BHALL00402,BLABS00102,false
BHALL00402_BREST00302,BHALL00402,BREST00302,false
BREST00302_BSTAI00902,BREST00302,BSTAI00902,false
BSTAI00902_WHALL00602,BSTAI00902,WHALL00602,false
BHALL00402_BHALL03102,BHALL00402,BHALL03102,false
BHALL03102_BSTAI00802,BHALL03102,BSTAI00802,false
BSTAI00802_BREST00402,BSTAI00802,BREST00402,false
BREST00402_BHALL03202,BREST00402,BHALL03202,false
BHALL00602_BREST00202,BHALL00602,BREST00202,false
BREST00202_BHALL00802,BREST00202,BHALL00802,false
BHALL00802_BSTAI00302,BHALL00802,BSTAI00302,false
BHALL00702_BHALL01502,BHALL00702,BHALL01502,false
BHALL01002_BHALL01602,BHALL01002,BHALL01602,false
BHALL01202_BSTAI00502,BHALL01202,BSTAI00502,false
BHALL01102_BHALL02302,BHALL01102,BHALL02302,false
BHALL00602_BHALL01802,BHALL00602,BHALL01802,false
BHALL01802_BDEPT00502,BHALL01802,BDEPT00502,false
BHALL02202_BHALL02302,BHALL02202,BHALL02302,false
BHALL03002_BSTAI00702,BHALL03002,BSTAI00702,false
BHALL02102_BSERV00102,BHALL02102,BSERV00102,false
BHALL02302_BINFO00102,BHALL02302,BINFO00102,false
BINFO00102_BLABS00202,BINFO00102,BLABS00202,false
BINFO00202_BHALL02502,BINFO00202,BHALL02502,false
BHALL02502_BHALL02602,BHALL02502,BHALL02602,false
BHALL02702_BHALL02802,BHALL02702,BHALL02802,false
BHALL02602_BHALL01402,BHALL02602,BHALL01402,false
BHALL00202_BSTAI00202,BHALL00202,BSTAI00202,false
BSTAI00202_BHALL03802,BSTAI00202,BHALL03802,false
BHALL01202_WELEV00G02,BHALL01202,WELEV00G02,false
BSTAI00502_WELEV00G02,BSTAI00502,WELEV00G02,false
BHALL00302_BHALL03402,BHALL00302,BHALL03402,false
BREST00102_BHALL03402,BREST00102,BHALL03402,false
BDEPT00202_BHALL03402,BDEPT00202,BHALL03402,false
BCONF00102_BHALL03402,BCONF00102,BHALL03402,false
BHALL00302_WELEV00K02,BHALL00302,WELEV00K02,false
BHALL03502_BHALL00302,BHALL03502,BHALL00302,false
BHALL03502_BHALL00402,BHALL03502,BHALL00402,false
BHALL03102_BHALL03302,BHALL03102,BHALL03302,false
BHALL01902_BDEPT00502,BHALL01902,BDEPT00502,false
BHALL01902_BHALL02002,BHALL01902,BHALL02002,false
BHALL02002_BHALL02102,BHALL02002,BHALL02102,false
BHALL02202_BHALL02102,BHALL02202,BHALL02102,false
BDEPT00102_BHALL03802,BDEPT00102,BHALL03802,false
BHALL03602_BHALL03802,BHALL03602,BHALL03802,false
BHALL03702_BHALL03602,BHALL03702,BHALL03602,false
BHALL00902_BHALL03702,BHALL00902,BHALL03702,false
BHALL01102_BHALL01002,BHALL01102,BHALL01002,false
BHALL01302_BINFO00202,BHALL01302,BINFO00202,false
BDEPT00902_BHALL01402,BDEPT00902,BHALL01402,false
BHALL00502_WELEV00J02,BHALL00502,WELEV00J02,false
BDEPT00302_WELEV00J02,BDEPT00302,WELEV00J02,false
BHALL01902_BHALL04102,BHALL01902,BHALL04102,false
BHALL04102_WELEV00H02,BHALL04102,WELEV00H02,false
BHALL02002_BHALL04202,BHALL02002,BHALL04202,false
BHALL04202_BHALL04302,BHALL04202,BHALL04302,false
BHALL04302_BHALL02902,BHALL04302,BHALL02902,false
BREST00502_BHALL02902,BREST00502,BHALL02902,false
BHALL03002_BREST00502,BHALL03002,BREST00502,false
BHALL02602_BHALL02702,BHALL02602,BHALL02702,false
BSTAI00602_WELEV00E02,BSTAI00602,WELEV00E02,false
BSTAI00502_BDEPT00702,BSTAI00502,BDEPT00702,false
BDEPT00702_BHALL01702,BDEPT00702,BHALL01702,false
BINFO00102_BHALL04402,BINFO00102,BHALL04402,false
BHALL04402_BHALL02802,BHALL04402,BHALL02802,false
BHALL04402_WELEV00F02,BHALL04402,WELEV00F02,false
BHALL04402_BINFO00202,BHALL04402,BINFO00202,false
BSTAI00602_BDEPT00902,BSTAI00602,BDEPT00902,false
BHALL00502_BDEPT00302,BHALL00502,BDEPT00302,false
BHALL03002_BHALL03302,BHALL03002,BHALL03302,false
BSTAI01002_BHALL00302,BSTAI01002,BHALL00302,false
BDEPT00602_BHALL03302,BDEPT00602,BHALL03302,false
BHALL04102_BHALL04202,BHALL04102,BHALL04202,false
CCONF002L1_WELEV00HL1,CCONF002L1,WELEV00HL1,false
CCONF003L1_CHALL002L1,CCONF003L1,CHALL002L1,false
CDEPT002L1_CDEPT003L1,CDEPT002L1,CDEPT003L1,false
CDEPT003L1_CHALL014L1,CDEPT003L1,CHALL014L1,false
CDEPT004L1_CHALL002L1,CDEPT004L1,CHALL002L1,false
CHALL001L1_CREST001L1,CHALL001L1,CREST001L1,false
CHALL001L2_WELEV00JL2,CHALL001L2,WELEV00JL2,false
CHALL002L1_CSERV001L1,CHALL002L1,CSERV001L1,false
CHALL002L2_CREST001L2,CHALL002L2,CREST001L2,false
CHALL003L1_CCONF003L1,CHALL003L1,CCONF003L1,false
CHALL003L1_CLABS004L1,CHALL003L1,CLABS004L1,false
CHALL003L2_CHALL002L2,CHALL003L2,CHALL002L2,false
CHALL003L2_WELEV00KL2,CHALL003L2,WELEV00KL2,false
CHALL004L1_CREST004L1,CHALL004L1,CREST004L1,false
CHALL004L2_CHALL003L2,CHALL004L2,CHALL003L2,false
CHALL005L1_WELEV00ML1,CHALL005L1,WELEV00ML1,false
CHALL005L2_CHALL006L2,CHALL005L2,CHALL006L2,false
CHALL005L2_WELEV00ML2,CHALL005L2,WELEV00ML2,false
CHALL006L1_CHALL007L1,CHALL006L1,CHALL007L1,false
CHALL006L2_CHALL007L2,CHALL006L2,CHALL007L2,false
CHALL007L1_CHALL008L1,CHALL007L1,CHALL008L1,false
CHALL007L2_CHALL008L2,CHALL007L2,CHALL008L2,false
CHALL008L1_CDEPT004L1,CHALL008L1,CDEPT004L1,false
CHALL008L1_WELEV00KL1,CHALL008L1,WELEV00KL1,false
CHALL008L2_CHALL009L2,CHALL008L2,CHALL009L2,false
CHALL008L2_WELEV00LL2,CHALL008L2,WELEV00LL2,false
CHALL009L1_CHALL010L1,CHALL009L1,CHALL010L1,false
CHALL009L1_CRETL001L1,CHALL009L1,CRETL001L1,false
CHALL009L2_CHALL010L2,CHALL009L2,CHALL010L2,false
CHALL010L1_CREST003L1,CHALL010L1,CREST003L1,false
CHALL010L2_CHALL004L2,CHALL010L2,CHALL004L2,false
CHALL011L1_WELEV00JL1,CHALL011L1,WELEV00JL1,false
CHALL012L1_CHALL013L1,CHALL012L1,CHALL013L1,false
CHALL013L1_CDEPT002L1,CHALL013L1,CDEPT002L1,false
CHALL014L1_WELEV00LL1,CHALL014L1,WELEV00LL1,false
CHALL015L1_CCONF001L1,CHALL015L1,CCONF001L1,false
CHALL015L1_CHALL011L1,CHALL015L1,CHALL011L1,false
CLABS001L1_CREST002L1,CLABS001L1,CREST002L1,false
CLABS001L2_CHALL001L2,CLABS001L2,CHALL001L2,false
CLABS002L1_CHALL005L1,CLABS002L1,CHALL005L1,false
CLABS002L1_CREST001L1,CLABS002L1,CREST001L1,false
CLABS002L2_WELEV00KL2,CLABS002L2,WELEV00KL2,false
CLABS003L1_CHALL006L1,CLABS003L1,CHALL006L1,false
CLABS004L1_CLABS003L1,CLABS004L1,CLABS003L1,false
CLABS005L1_CHALL003L1,CLABS005L1,CHALL003L1,false
CREST001L2_CLABS001L2,CREST001L2,CLABS001L2,false
CREST002L1_CHALL006L1,CREST002L1,CHALL006L1,false
CREST002L2_CSERV001L2,CREST002L2,CSERV001L2,false
CREST003L1_CHALL015L1,CREST003L1,CHALL015L1,false
CREST004L1_CLABS005L1,CREST004L1,CLABS005L1,false
CRETL001L1_CHALL012L1,CRETL001L1,CHALL012L1,false
CSERV001L1_CCONF002L1,CSERV001L1,CCONF002L1,false
CSERV001L2_CLABS002L2,CSERV001L2,CLABS002L2,false
WELEV00HL1_CHALL004L1,WELEV00HL1,CHALL004L1,false
WELEV00KL1_CHALL009L1,WELEV00KL1,CHALL009L1,false
WELEV00LL1_CHALL001L1,WELEV00LL1,CHALL001L1,false
WELEV00ML1_CLABS001L1,WELEV00ML1,CLABS001L1,false
WELEV00ML2_CREST002L2,WELEV00ML2,CREST002L2,false
WHALL001L2_CHALL005L2,WHALL001L2,CHALL005L2,false
DHALL00102_DHALL00202,DHALL00102,DHALL00202,false
DHALL00202_DHALL00302,DHALL00202,DHALL00302,false
DHALL00302_DHALL00402,DHALL00302,DHALL00402,false
DHALL00302_DHALL00502,DHALL00302,DHALL00502,false
DHALL00502_DHALL00602,DHALL00502,DHALL00602,false
DHALL00602_DHALL00702,DHALL00602,DHALL00702,false
DHALL00702_DHALL00802,DHALL00702,DHALL00802,false
DHALL00802_DHALL00902,DHALL00802,DHALL00902,false
DHALL00902_DHALL01002,DHALL00902,DHALL01002,false
DHALL01002_DHALL01102,DHALL01002,DHALL01102,false
DHALL01102_DHALL01202,DHALL01102,DHALL01202,false
DHALL01202_DHALL01302,DHALL01202,DHALL01302,false
DHALL01302_DHALL01402,DHALL01302,DHALL01402,false
DHALL00902_DSTAI00102,DHALL00902,DSTAI00102,false
DHALL01202_DCONF00102,DHALL01202,DCONF00102,false
DHALL01402_DELEV00A02,DHALL01402,DELEV00A02,false
DHALL01202_DHALL01502,DHALL01202,DHALL01502,false
DHALL01502_DHALL01602,DHALL01502,DHALL01602,false
DHALL01602_DHALL01702,DHALL01602,DHALL01702,false
DHALL01602_DHALL01802,DHALL01602,DHALL01802,false
DHALL01802_DSTAI00202,DHALL01802,DSTAI00202,false
DSTAI00202_DHALL01902,DSTAI00202,DHALL01902,false
DHALL01902_DHALL02002,DHALL01902,DHALL02002,false
DHALL02002_DHALL02102,DHALL02002,DHALL02102,false
DHALL02102_DHALL02202,DHALL02102,DHALL02202,false
DHALL02202_DHALL02302,DHALL02202,DHALL02302,false
DHALL02302_DHALL02402,DHALL02302,DHALL02402,false
DHALL02102_DRETL00102,DHALL02102,DRETL00102,false
DHALL02202_DSTAI00302,DHALL02202,DSTAI00302,false
DHALL01802_DHALL02602,DHALL01802,DHALL02602,false
DHALL02602_DHALL02502,DHALL02602,DHALL02502,false
DHALL02502_DEXIT00102,DHALL02502,DEXIT00102,false
DHALL02502_DDEPT00102,DHALL02502,DDEPT00102,false
DHALL02502_DDEPT00202,DHALL02502,DDEPT00202,false
DHALL02602_DHALL02702,DHALL02602,DHALL02702,false
DHALL02702_DHALL02802,DHALL02702,DHALL02802,false
DHALL02802_DHALL02902,DHALL02802,DHALL02902,false
DHALL02902_DHALL03002,DHALL02902,DHALL03002,false
DHALL02702_DINFO00102,DHALL02702,DINFO00102,false
DHALL02802_DSTAI00402,DHALL02802,DSTAI00402,false
DHALL03002_DELEV00B02,DHALL03002,DELEV00B02,false
DHALL03002_DREST00102,DHALL03002,DREST00102,false
DHALL02902_DHALL03102,DHALL02902,DHALL03102,false
DHALL03102_DHALL03202,DHALL03102,DHALL03202,false
DHALL03202_DSTAI00502,DHALL03202,DSTAI00502,false
DHALL03102_DHALL03302,DHALL03102,DHALL03302,false
DHALL03302_DHALL03402,DHALL03302,DHALL03402,false
DHALL03402_DHALL03502,DHALL03402,DHALL03502,false
DHALL03502_DHALL03602,DHALL03502,DHALL03602,false
DHALL03602_DHALL03702,DHALL03602,DHALL03702,false
DHALL03702_DHALL03802,DHALL03702,DHALL03802,false
DHALL03602_DSTAI00602,DHALL03602,DSTAI00602,false
DHALL03702_DELEV00C02,DHALL03702,DELEV00C02,false
DHALL03302_DHALL03902,DHALL03302,DHALL03902,false
DHALL03902_DREST00202,DHALL03902,DREST00202,false
DHALL03902_DDEPT00302,DHALL03902,DDEPT00302,false
DDEPT00302_DHALL04002,DDEPT00302,DHALL04002,false
DHALL04002_DHALL04102,DHALL04002,DHALL04102,false
DHALL04002_DSTAI00702,DHALL04002,DSTAI00702,false
DHALL03302_DHALL04202,DHALL03302,DHALL04202,false
DHALL04202_DHALL04302,DHALL04202,DHALL04302,false
DHALL04302_DHALL04402,DHALL04302,DHALL04402,false
DHALL04202_DHALL04502,DHALL04202,DHALL04502,false
DHALL04502_DLABS00102,DHALL04502,DLABS00102,false
DHALL04502_DHALL04602,DHALL04502,DHALL04602,false
DHALL04602_DHALL04702,DHALL04602,DHALL04702,false
DHALL04702_DHALL04802,DHALL04702,DHALL04802,false
DHALL04702_DHALL04902,DHALL04702,DHALL04902,false
DHALL04902_DREST00302,DHALL04902,DREST00302,false
DHALL04902_DHALL05002,DHALL04902,DHALL05002,false
