nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned,xcoord3D,ycoord3D
ACONF00102,1580,2538,2,BTM,HALL,Hall,Hall,Team A,1580,2538
ACONF00103,1648,2968,3,BTM,CONF,BTM Conference Center,BTM Conference,Team A,1648,2968
ADEPT00101,1401,2628,1,BTM,DEPT,Neuroscience Waiting Room,Neuro Waiting Room,Team A,1401,2628
ADEPT00102,1395,2674,2,BTM,DEPT,Orthopedics and Rhemutalogy,Orthopedics and Rhemutalogy,Team A,1395,2674
ADEPT00201,1720,2847,1,BTM,DEPT,MS Waiting,MS Waiting,Team A,1720,2847
ADEPT00301,986,2852,1,BTM,DEPT,CART Waiting,CART Waiting,Team A,986,2852
AELEV00S01,1534,2777,1,BTM,ELEV,Elevator S 01,Elevator S 1,Team A,1534,2777
AELEV00S02,1532,2777,2,BTM,ELEV,Elevator S 02,Elevator S 2,Team A,1532,2777
AELEV00S03,1539,2773,3,BTM,ELEV,Elevator S; Floor 3,Elevator S 3,Team A,1539,2773
AELEV00SL2,1630,2742,L2,BTM,ELEV,Elevator S L2,Elevator S L2,Team A,1630,2742
AEXIT001L2,1696,2788,L2,BTM,EXIT,Parking Garage L2,Parking Garage L2,Team A,1696,2788
AHALL00101,1638,2553,1,BTM,HALL,Hall,Hall,Team A,1638,2553
AHALL00102,1591,2560,2,BTM,HALL,Hall,Hall,Team A,1591,2560
AHALL00103,1534,2732,3,BTM,HALL,Hall,Hall,Team A,1534,2732
AHALL001L2,1627,2782,L2,BTM,HALL,Hallway to Elevator,Hall,Team A,1627,2782
AHALL00201,1608,2596,1,BTM,HALL,Hall,Hall,Team A,1608,2596
AHALL00202,1590,2604,2,BTM,HALL,Hall,Hall,Team A,1590,2604
AHALL00203,1600,2732,3,BTM,HALL,Hall,Hall,Team A,1600,2732
AHALL002L2,1698,2776,L2,BTM,HALL,Hallway Intersection,Hall,Team A,1698,2776
AHALL00301,1608,2737,1,BTM,HALL,Hall,Hall,Team A,1608,2737
AHALL00302,1590,2745,2,BTM,HALL,Hall,Hall,Team A,1590,2745
AHALL00303,1650,2732,3,BTM,HALL,Hall,Hall,Team A,1650,2732
AHALL003L2,1701,2734,L2,BTM,HALL,Hall,Hall,Team A,1701,2734
AHALL00401,1420,2737,1,BTM,HALL,Hall,Hall,Team A,1420,2737
AHALL00402,1528,2745,2,BTM,HALL,Hall,Hall,Team A,1528,2745
AHALL00403,1650,2766,3,BTM,HALL,Hall,Hall,Team A,1650,2766
AHALL004L2,1698,2687,L2,BTM,HALL,Hall,Hall,Team A,1698,2687
AHALL00501,1420,2865,1,BTM,HALL,Hall,Hall,Team A,1420,2865
AHALL00502,1398,2745,2,BTM,HALL,Hall,Hall,Team A,1398,2745
AHALL00503,1650,2855,3,BTM,HALL,Hall,Hall,Team A,1650,2855
AHALL00601,1678,2865,1,BTM,HALL,Hall,Hall,Team A,1678,2865
AHALL00602,1683,2543,2,BTM,HALL,Hall,Hall,Team A,1683,2543
AHALL00603,1580,2858,3,BTM,HALL,HallNode,HallNode,Team A,1580,2858
AHALL00701,1017,2865,1,BTM,HALL,Hall,Hall,Team A,1017,2865
AHALL00801,1532,2739,1,BTM,HALL,Hall,Hall,Team A,1532,2739
AHALL00901,1581,2566,1,BTM,HALL,Hall,Hall,Team A,1581,2566
AHALL01001,1605,2568,1,BTM,HALL,Hall,Hall,Team A,1605,2568
AINFO001L2,1681,2747,L2,BTM,INFO,BTM Security Desk,Security,Team A,1681,2747
ALABS00103,1611,2678,3,BTM,LABS,Innovation Hub,Innovation Hub,Team A,1611,2678
ALABS001L2,1667,2682,L2,BTM,LABS,MRI/CT Scan Imaging,MRI/CT Imaging,Team A,1667,2682
ALABS00203,1671,2695,3,BTM,LABS,Clinical Trials,Clinical Trials,Team A,1671,2695
AREST00101,1556,2604,1,BTM,REST,Restroom; S elevator; 1st floor,Restroom,Team A,1556,2604
AREST00103,1552,2854,3,BTM,REST,Restroom; BTM conference center; 3rd floor,Restroom,Team A,1552,2854
ARETL00101,1619,2522,1,BTM,RETL,Cafe,Cafe,Team A,1619,2522
ASTAI00101,1642,2596,1,BTM,STAI,Cafe Stairs,Cafe Staris,Team A,1642,2596
ASTAI00102,1650,2602,2,BTM,STAI,Stairs; Floor 2,Stairs Floor 2,Team A,1650,2602
BCONF00102,2150,1025,2,45 Francis,CONF,Duncan Reid Conference Room,Conf B0102,Team B,2150,1025
BHALL03802,2279,786,2,45 Francis,HALL,Hallway Intersection 38 Level 2,Hallway B3802,Team B,2279,786
BDEPT00202,2166,1039,2,45 Francis,DEPT,Oral Medicine and Dentistry,DEPT B0202,Team B,2166,1039
BDEPT00302,2385,753,2,45 Francis,DEPT,Lee Bell Breast Center,DEPT B0302,Team B,2385,753
BDEPT00402,2439,902,2,45 Francis,DEPT,Jen Center for Primary Care,DEPT B0402,Team B,2439,902
BDEPT00502,2623,1018,2,45 Francis,DEPT,Ear Nose & Throat,DEPT B0502,Team B,2623,1018
BDEPT00602,2782,1303,2,45 Francis,HALL,Hallway Intersection 31 Level 2,Hallway B3102,Team B,2782,1303
BDEPT00702,2945,775,2,45 Francis,DEPT,Plastic Surgery,DEPT B0702,Team B,2945,775
BDEPT00802,3155,890,2,45 Francis,DEPT,Outpatient Pharmacy,DEPT B0802,Team B,3155,890
BDEPT00902,3257,879,2,45 Francis,DEPT,Weiner Center for Preoperative Evaluation,DEPT B0902,Team B,3257,879
BHALL00102,2238,902,2,45 Francis,HALL,Hallway Intersection 1 Level 2,Hallway B0102,Team B,2238,902
BHALL00202,2279,902,2,45 Francis,HALL,Hallway Intersection 2 Level 2,Hallway B0202,Team B,2279,902
BHALL00302,2238,1028,2,45 Francis,HALL,Hallway Intersection 3 Level 2,Hallway B0302,Team B,2238,1028
BHALL00402,2246,1280,2,45 Francis,HALL,Hallway Intersection 4 Level 2,Hallway B0402,Team B,2246,1280
BHALL00502,2385,902,2,45 Francis,HALL,Hallway Intersection 5 Level 2,Hallway B0502,Team B,2385,902
BHALL00602,2605,902,2,45 Francis,HALL,Hallway Intersection 6 Level 2,Hallway B0602,Team B,2605,902
BHALL00702,2672,902,2,45 Francis,HALL,Hallway Intersection 7 Level 2,Hallway B0702,Team B,2672,902
BHALL00802,2605,783,2,45 Francis,HALL,Hallway Intersection 8 Level 2,Hallway B0802,Team B,2605,783
BHALL00902,2330,590,2,45 Francis,HALL,Hallway Intersection 9 Level 2,Hallway B0902,Team B,2330,590
BHALL01002,2713,902,2,45 Francis,HALL,Hallway Intersection 10 Level 2,Hallway B1002,Team B,2713,902
BHALL01102,2912,903,2,45 Francis,HALL,Hallway Intersection 11 Level 2,Hallway B1102,Team B,2912,903
BHALL01202,2945,902,2,45 Francis,HALL,Hallway Intersection 12 Level 2,Hallway B1202,Team B,2945,902
BHALL01302,3135,890,2,45 Francis,HALL,Hallway Intersection 13 Level 2,Hallway B1302,Team B,3135,890
BHALL01402,3296,880,2,45 Francis,HALL,Hallway Intersection 14 Level 2,Hallway B1402,Team B,3296,880
